tasks,offlines,repeat,tag,date,init,limit,setup,time,calls
16,1,11,pusty,2007-01-14 12:08:57,3,2,2,0.50,547413
16,1,11,pusty,2007-01-14 12:08:57,3,3,2,0.47,381272
16,1,12,pusty,2007-01-14 12:08:58,1,1,2,0.67,3281688
16,1,12,pusty,2007-01-14 12:08:59,1,2,2,1.25,1923933
16,1,12,pusty,2007-01-14 12:09:01,1,3,2,1.46,1800025
16,1,12,pusty,2007-01-14 12:09:01,2,1,2,0.06,282862
16,1,12,pusty,2007-01-14 12:09:01,2,2,2,0.11,180675
16,1,12,pusty,2007-01-14 12:09:01,2,3,2,0.13,169113
16,1,12,pusty,2007-01-14 12:09:02,3,1,2,0.21,71798
16,1,12,pusty,2007-01-14 12:09:02,3,2,2,0.22,44749
16,1,12,pusty,2007-01-14 12:09:02,3,3,2,0.22,36665
16,1,13,pusty,2007-01-14 12:10:02,1,1,2,Command exited with non-zero status 137 0.00,Timeout: aborting command ``../../src/branch'' with signal 9 Killed
16,1,13,pusty,2007-01-14 12:11:02,1,2,2,Command exited with non-zero status 137 0.00,Timeout: aborting command ``../../src/branch'' with signal 9 Killed
16,1,13,pusty,2007-01-14 12:12:03,1,3,2,Command exited with non-zero status 137 0.00,Timeout: aborting command ``../../src/branch'' with signal 9 Killed
16,1,13,pusty,2007-01-14 12:12:05,2,1,2,2.28,11832597
16,1,13,pusty,2007-01-14 12:12:07,2,2,2,1.60,2731137
16,1,13,pusty,2007-01-14 12:12:08,2,3,2,1.76,2731137
16,1,13,pusty,2007-01-14 12:12:10,3,1,2,1.58,7049608
16,1,13,pusty,2007-01-14 12:12:11,3,2,2,0.96,1263665
16,1,13,pusty,2007-01-14 12:12:12,3,3,2,1.04,1263665
16,1,14,pusty,2007-01-14 12:12:12,1,1,2,0.01,50609
16,1,14,pusty,2007-01-14 12:12:12,1,2,2,0.01,19892
16,1,14,pusty,2007-01-14 12:12:13,1,3,2,0.01,19720
16,1,14,pusty,2007-01-14 12:12:13,2,1,2,0.00,466
16,1,14,pusty,2007-01-14 12:12:13,2,2,2,0.00,410
16,1,14,pusty,2007-01-14 12:12:13,2,3,2,0.00,334
16,1,14,pusty,2007-01-14 12:12:13,3,1,2,0.17,145
16,1,14,pusty,2007-01-14 12:12:13,3,2,2,0.17,145
16,1,14,pusty,2007-01-14 12:12:13,3,3,2,0.18,85
16,1,15,pusty,2007-01-14 12:12:16,1,1,2,2.79,13448084
16,1,15,pusty,2007-01-14 12:12:20,1,2,2,3.22,5150632
16,1,15,pusty,2007-01-14 12:12:23,1,3,2,3.32,4145961
16,1,15,pusty,2007-01-14 12:12:23,2,1,2,0.36,1935259
16,1,15,pusty,2007-01-14 12:12:24,2,2,2,0.62,957426
16,1,15,pusty,2007-01-14 12:12:25,2,3,2,0.58,840208
16,1,15,pusty,2007-01-14 12:12:25,3,1,2,0.24,429233
16,1,15,pusty,2007-01-14 12:12:26,3,2,2,0.29,209183
16,1,15,pusty,2007-01-14 12:12:26,3,3,2,0.36,191724
16,1,16,pusty,2007-01-14 12:12:27,1,1,2,1.00,5059438
16,1,16,pusty,2007-01-14 12:12:28,1,2,2,1.20,1828512
16,1,16,pusty,2007-01-14 12:12:30,1,3,2,1.20,1469119
16,1,16,pusty,2007-01-14 12:12:30,2,1,2,0.11,635192
16,1,16,pusty,2007-01-14 12:12:30,2,2,2,0.10,199267
16,1,16,pusty,2007-01-14 12:12:30,2,3,2,0.10,165434
16,1,16,pusty,2007-01-14 12:12:30,3,1,2,0.24,208541
16,1,16,pusty,2007-01-14 12:12:31,3,2,2,0.18,67605
16,1,16,pusty,2007-01-14 12:12:31,3,3,2,0.20,60870
16,1,17,pusty,2007-01-14 12:12:31,1,1,2,0.24,1243120
16,1,17,pusty,2007-01-14 12:12:32,1,2,2,0.48,742576
16,1,17,pusty,2007-01-14 12:12:33,1,3,2,0.50,571633
16,1,17,pusty,2007-01-14 12:12:33,2,1,2,0.14,940041
16,1,17,pusty,2007-01-14 12:12:33,2,2,2,0.32,589876
16,1,17,pusty,2007-01-14 12:12:34,2,3,2,0.36,444821
16,1,17,pusty,2007-01-14 12:12:34,3,1,2,0.18,162224
16,1,17,pusty,2007-01-14 12:12:34,3,2,2,0.24,93681
16,1,17,pusty,2007-01-14 12:12:35,3,3,2,0.21,74117
16,1,18,pusty,2007-01-14 12:12:35,1,1,2,0.31,1393706
16,1,18,pusty,2007-01-14 12:12:36,1,2,2,0.56,930876
16,1,18,pusty,2007-01-14 12:12:36,1,3,2,0.54,730205
16,1,18,pusty,2007-01-14 12:12:36,2,1,2,0.05,258292
16,1,18,pusty,2007-01-14 12:12:37,2,2,2,0.10,187062
16,1,18,pusty,2007-01-14 12:12:37,2,3,2,0.11,148213
16,1,18,pusty,2007-01-14 12:12:37,3,1,2,0.19,27991
16,1,18,pusty,2007-01-14 12:12:37,3,2,2,0.18,19715
16,1,18,pusty,2007-01-14 12:12:37,3,3,2,0.18,17611
16,1,19,pusty,2007-01-14 12:12:39,1,1,2,1.33,6946362
16,1,19,pusty,2007-01-14 12:12:39,1,2,2,0.03,53017
16,1,19,pusty,2007-01-14 12:12:39,1,3,2,0.02,52097
16,1,19,pusty,2007-01-14 12:12:40,2,1,2,0.59,3274137
16,1,19,pusty,2007-01-14 12:12:40,2,2,2,0.10,159533
16,1,19,pusty,2007-01-14 12:12:40,2,3,2,0.09,158830
16,1,19,pusty,2007-01-14 12:12:41,3,1,2,0.33,772155
16,1,19,pusty,2007-01-14 12:12:41,3,2,2,0.19,18243
16,1,19,pusty,2007-01-14 12:12:41,3,3,2,0.18,17548
16,1,1,pusty,2007-01-14 12:05:27,1,1,2,13.49,67330590
16,1,1,pusty,2007-01-14 12:05:42,1,2,2,15.43,23478765
16,1,1,pusty,2007-01-14 12:05:57,1,3,2,14.24,17873110
16,1,1,pusty,2007-01-14 12:05:59,2,1,2,1.76,8712578
16,1,1,pusty,2007-01-14 12:06:01,2,2,2,2.50,3939914
16,1,1,pusty,2007-01-14 12:06:04,2,3,2,2.27,2731396
16,1,1,pusty,2007-01-14 12:06:05,3,1,2,0.94,3801784
16,1,1,pusty,2007-01-14 12:06:06,3,2,2,1.20,1605140
16,1,1,pusty,2007-01-14 12:06:07,3,3,2,1.14,1121930
16,1,20,pusty,2007-01-14 12:13:39,1,1,2,4.54,23570795
16,1,20,pusty,2007-01-14 12:13:43,1,2,2,3.29,5752821
16,1,20,pusty,2007-01-14 12:13:46,1,3,2,3.43,5752821
16,1,20,pusty,2007-01-14 12:13:47,2,1,2,0.27,1493856
16,1,20,pusty,2007-01-14 12:13:47,2,2,2,0.22,380867
16,1,20,pusty,2007-01-14 12:13:47,2,3,2,0.22,380867
16,1,20,pusty,2007-01-14 12:13:48,3,1,2,0.34,774473
16,1,20,pusty,2007-01-14 12:13:48,3,2,2,0.26,156614
16,1,20,pusty,2007-01-14 12:13:48,3,3,2,0.26,156614
16,1,2,pusty,2007-01-14 12:12:58,1,1,2,16.86,86011237
16,1,2,pusty,2007-01-14 12:13:05,1,2,2,7.07,12235011
16,1,2,pusty,2007-01-14 12:13:13,1,3,2,7.48,12235011
16,1,2,pusty,2007-01-14 12:13:25,2,1,2,11.76,60454295
16,1,2,pusty,2007-01-14 12:13:29,2,2,2,3.91,6188100
16,1,2,pusty,2007-01-14 12:13:33,2,3,2,4.18,6188100
16,1,2,pusty,2007-01-14 12:13:34,3,1,2,0.56,1974096
16,1,2,pusty,2007-01-14 12:13:34,3,2,2,0.18,66900
16,1,2,pusty,2007-01-14 12:13:35,3,3,2,0.26,66900
16,1,3,pusty,2007-01-14 12:13:49,1,1,2,0.26,1230262
16,1,3,pusty,2007-01-14 12:13:49,1,2,2,0.38,635057
16,1,3,pusty,2007-01-14 12:13:50,1,3,2,0.40,622538
16,1,3,pusty,2007-01-14 12:13:50,2,1,2,0.08,439326
16,1,3,pusty,2007-01-14 12:13:50,2,2,2,0.14,240813
16,1,3,pusty,2007-01-14 12:13:50,2,3,2,0.14,230759
16,1,3,pusty,2007-01-14 12:13:50,3,1,2,0.19,54067
16,1,3,pusty,2007-01-14 12:13:51,3,2,2,0.20,31229
16,1,3,pusty,2007-01-14 12:13:51,3,3,2,0.22,24647
16,1,4,pusty,2007-01-14 12:14:51,1,1,2,Command exited with non-zero status 137 0.00,Timeout: aborting command ``../../src/branch'' with signal 9 Killed
16,1,4,pusty,2007-01-14 12:15:51,1,2,2,Command exited with non-zero status 137 0.00,Timeout: aborting command ``../../src/branch'' with signal 9 Killed
16,1,4,pusty,2007-01-14 12:16:51,1,3,2,Command exited with non-zero status 137 0.00,Timeout: aborting command ``../../src/branch'' with signal 9 Killed
16,1,4,pusty,2007-01-14 12:17:01,2,1,2,9.29,48126253
16,1,4,pusty,2007-01-14 12:17:10,2,2,2,9.36,16945846
16,1,4,pusty,2007-01-14 12:17:20,2,3,2,9.41,16945809
