tasks,offlines,repeat,tag,date,init,approx,cmax,time,cmax_min
5,3,12,pusty,2007-01-05 21:11:14,3,1,653,0.00,
5,3,12,pusty,2007-01-05 21:11:14,3,2,653,0.00,
5,3,12,pusty,2007-01-05 21:11:14,3,3,653,0.00,
5,3,13,pusty,2007-01-05 21:11:14,1,1,382,0.00,
5,3,13,pusty,2007-01-05 21:11:14,1,2,382,0.00,
5,3,13,pusty,2007-01-05 21:11:14,1,3,382,0.00,
5,3,13,pusty,2007-01-05 21:11:14,2,1,382,0.00,
5,3,13,pusty,2007-01-05 21:11:15,2,2,382,0.00,
5,3,13,pusty,2007-01-05 21:11:15,2,3,382,0.00,
5,3,13,pusty,2007-01-05 21:11:15,3,1,382,0.00,
5,3,13,pusty,2007-01-05 21:11:15,3,2,382,0.00,
5,3,13,pusty,2007-01-05 21:11:15,3,3,382,0.00,
5,3,14,pusty,2007-01-05 21:11:15,1,1,580,0.00,
5,3,14,pusty,2007-01-05 21:11:15,1,2,580,0.00,
5,3,14,pusty,2007-01-05 21:11:15,1,3,580,0.00,
5,3,14,pusty,2007-01-05 21:11:15,2,1,580,0.00,
5,3,14,pusty,2007-01-05 21:11:15,2,2,580,0.00,
5,3,14,pusty,2007-01-05 21:11:15,2,3,580,0.00,
5,3,14,pusty,2007-01-05 21:11:15,3,1,580,0.00,
5,3,14,pusty,2007-01-05 21:11:15,3,2,580,0.00,
5,3,14,pusty,2007-01-05 21:11:15,3,3,580,0.00,
5,3,15,pusty,2007-01-05 21:11:15,1,1,396,0.00,
5,3,15,pusty,2007-01-05 21:11:15,1,2,396,0.00,
5,3,15,pusty,2007-01-05 21:11:15,1,3,396,0.00,
5,3,15,pusty,2007-01-05 21:11:15,2,1,396,0.00,
5,3,15,pusty,2007-01-05 21:11:15,2,2,396,0.00,
5,3,15,pusty,2007-01-05 21:11:15,2,3,396,0.00,
5,3,15,pusty,2007-01-05 21:11:15,3,1,396,0.00,
5,3,15,pusty,2007-01-05 21:11:15,3,2,396,0.00,
5,3,15,pusty,2007-01-05 21:11:15,3,3,396,0.00,
5,3,16,pusty,2007-01-05 21:11:15,1,1,596,0.00,
5,3,16,pusty,2007-01-05 21:11:15,1,2,596,0.00,
5,3,16,pusty,2007-01-05 21:11:16,1,3,596,0.00,
5,3,16,pusty,2007-01-05 21:11:16,2,1,596,0.00,
5,3,16,pusty,2007-01-05 21:11:16,2,2,596,0.00,
5,3,16,pusty,2007-01-05 21:11:16,2,3,596,0.00,
5,3,16,pusty,2007-01-05 21:11:16,3,1,596,0.00,
5,3,16,pusty,2007-01-05 21:11:16,3,2,596,0.00,
5,3,16,pusty,2007-01-05 21:11:16,3,3,596,0.00,
5,3,17,pusty,2007-01-05 21:11:16,1,1,404,0.00,
5,3,17,pusty,2007-01-05 21:11:16,1,2,404,0.00,
5,3,17,pusty,2007-01-05 21:11:16,1,3,404,0.00,
5,3,17,pusty,2007-01-05 21:11:16,2,1,404,0.00,
5,3,17,pusty,2007-01-05 21:11:16,2,2,404,0.00,
5,3,17,pusty,2007-01-05 21:11:16,2,3,404,0.00,
5,3,17,pusty,2007-01-05 21:11:16,3,1,404,0.00,
5,3,17,pusty,2007-01-05 21:11:16,3,2,404,0.00,
5,3,17,pusty,2007-01-05 21:11:16,3,3,404,0.00,
5,3,18,pusty,2007-01-05 21:11:16,1,1,632,0.00,
5,3,18,pusty,2007-01-05 21:11:16,1,2,632,0.00,
5,3,18,pusty,2007-01-05 21:11:16,1,3,632,0.00,
5,3,18,pusty,2007-01-05 21:11:16,2,1,632,0.00,
5,3,18,pusty,2007-01-05 21:11:16,2,2,632,0.00,
5,3,18,pusty,2007-01-05 21:11:16,2,3,632,0.00,
5,3,18,pusty,2007-01-05 21:11:16,3,1,632,0.00,
5,3,18,pusty,2007-01-05 21:11:16,3,2,632,0.00,
5,3,18,pusty,2007-01-05 21:11:17,3,3,632,0.00,
5,3,19,pusty,2007-01-05 21:11:17,1,1,614,0.00,
5,3,19,pusty,2007-01-05 21:11:17,1,2,614,0.00,
5,3,19,pusty,2007-01-05 21:11:17,1,3,614,0.00,
5,3,19,pusty,2007-01-05 21:11:17,2,1,614,0.00,
5,3,19,pusty,2007-01-05 21:11:17,2,2,614,0.00,
5,3,19,pusty,2007-01-05 21:11:17,2,3,614,0.00,
5,3,19,pusty,2007-01-05 21:11:17,3,1,614,0.00,
5,3,19,pusty,2007-01-05 21:11:17,3,2,614,0.00,
