tasks,offlines,repeat,tag,date,tabus,chances,resets,distance,cmax,time
50,10,15,test tabulisty,2006-11-23 14:34:05,120,50,1,3,4711,0.46
50,10,15,test tabulisty,2006-11-23 14:34:07,120,75,1,3,4324,1.63
50,10,15,test tabulisty,2006-11-23 14:34:07,140,25,1,3,4711,0.25
50,10,15,test tabulisty,2006-11-23 14:34:08,140,50,1,3,4711,0.47
50,10,15,test tabulisty,2006-11-23 14:34:09,140,75,1,3,4324,1.61
50,10,15,test tabulisty,2006-11-23 14:34:10,160,25,1,3,4711,0.26
50,10,15,test tabulisty,2006-11-23 14:34:10,160,50,1,3,4711,0.48
50,10,15,test tabulisty,2006-11-23 14:34:12,160,75,1,3,4324,1.53
50,10,15,test tabulisty,2006-11-23 14:34:12,180,25,1,3,4711,0.26
50,10,15,test tabulisty,2006-11-23 14:34:13,180,50,1,3,4711,0.46
50,10,15,test tabulisty,2006-11-23 14:34:15,180,75,1,3,4324,1.58
50,10,15,test tabulisty,2006-11-23 14:34:15,200,25,1,3,4711,0.26
50,10,15,test tabulisty,2006-11-23 14:34:16,200,50,1,3,4711,0.46
50,10,15,test tabulisty,2006-11-23 14:34:17,200,75,1,3,4324,1.60
50,10,1,test tabulisty,2006-11-23 14:30:52,0,25,1,3,4459,0.38
50,10,1,test tabulisty,2006-11-23 14:30:52,0,50,1,3,4459,0.59
50,10,1,test tabulisty,2006-11-23 14:30:53,0,75,1,3,4459,0.79
50,10,1,test tabulisty,2006-11-23 14:30:54,20,25,1,3,4459,0.37
50,10,1,test tabulisty,2006-11-23 14:30:55,20,50,1,3,4397,0.88
50,10,1,test tabulisty,2006-11-23 14:30:56,20,75,1,3,4397,1.17
50,10,1,test tabulisty,2006-11-23 14:30:57,40,25,1,3,4397,0.55
50,10,1,test tabulisty,2006-11-23 14:30:58,40,50,1,3,4328,1.55
50,10,1,test tabulisty,2006-11-23 14:31:00,40,75,1,3,4328,1.70
50,10,1,test tabulisty,2006-11-23 14:31:01,60,25,1,3,4397,0.52
50,10,1,test tabulisty,2006-11-23 14:31:02,60,50,1,3,4329,1.43
50,10,1,test tabulisty,2006-11-23 14:31:05,60,75,1,3,4296,2.18
50,10,1,test tabulisty,2006-11-23 14:31:05,80,25,1,3,4397,0.54
50,10,1,test tabulisty,2006-11-23 14:31:06,80,50,1,3,4378,0.98
50,10,1,test tabulisty,2006-11-23 14:31:08,80,75,1,3,4378,1.13
50,10,1,test tabulisty,2006-11-23 14:31:08,100,25,1,3,4397,0.52
50,10,1,test tabulisty,2006-11-23 14:31:09,100,50,1,3,4378,1.00
50,10,1,test tabulisty,2006-11-23 14:31:11,100,75,1,3,4378,1.16
50,10,1,test tabulisty,2006-11-23 14:31:11,120,25,1,3,4397,0.51
50,10,1,test tabulisty,2006-11-23 14:31:12,120,50,1,3,4378,0.99
50,10,1,test tabulisty,2006-11-23 14:31:14,120,75,1,3,4378,1.13
50,10,1,test tabulisty,2006-11-23 14:31:14,140,25,1,3,4397,0.52
50,10,1,test tabulisty,2006-11-23 14:31:15,140,50,1,3,4378,0.94
50,10,1,test tabulisty,2006-11-23 14:31:17,140,75,1,3,4378,1.16
50,10,1,test tabulisty,2006-11-23 14:31:17,160,25,1,3,4397,0.50
50,10,1,test tabulisty,2006-11-23 14:31:19,160,50,1,3,4378,0.93
50,10,1,test tabulisty,2006-11-23 14:31:20,160,75,1,3,4378,1.17
50,10,1,test tabulisty,2006-11-23 14:31:20,180,25,1,3,4397,0.50
50,10,1,test tabulisty,2006-11-23 14:31:22,180,50,1,3,4378,0.97
50,10,1,test tabulisty,2006-11-23 14:31:23,180,75,1,3,4378,1.14
50,10,1,test tabulisty,2006-11-23 14:31:24,200,25,1,3,4397,0.52
50,10,1,test tabulisty,2006-11-23 14:31:25,200,50,1,3,4378,1.01
50,10,1,test tabulisty,2006-11-23 14:31:26,200,75,1,3,4378,1.18
50,10,2,test tabulisty,2006-11-23 14:34:18,0,25,1,3,4563,0.30
50,10,2,test tabulisty,2006-11-23 14:34:18,0,50,1,3,4563,0.50
50,10,2,test tabulisty,2006-11-23 14:34:19,0,75,1,3,4563,0.76
50,10,2,test tabulisty,2006-11-23 14:34:20,20,25,1,3,4300,0.54
50,10,2,test tabulisty,2006-11-23 14:34:21,20,50,1,3,4300,0.76
